66159;Réal;42.6411;2.1472;66210
66221;Valmanya;42.5213;2.5133;66320
67069;Buhl;48.9175;8.0149;67470
67102;Dossenheim-Kochersberg;48.6407;7.5795;67117
67113;Eberbach-Seltz;48.9286;8.0648;67470
67125;Epfig;48.3521;7.4704;67680
67139;Flexbourg;48.568;7.423;67310
67182;Hangenbieten;48.5568;7.6123;67980
67221;Ingolsheim;48.9712;7.9279;67250
67434;Sarre-Union;48.9449;7.0883;67260
68072;Dietwiller;47.7016;7.4268;68440
68107;Gommersdorf;47.6414;7.1335;68210
68138;Hirsingue;47.5887;7.2513;68560
68224;Mulhouse;47.7497;7.3257;68100/68200
68249;Orbey;48.1149;7.1358;68370
69026;Breuil;45.8909;4.591;69620
69042;Chapelle-sur-Coise;45.6505;4.496;69590
70020;Andelarrot;47.5782;6.0992;70000
70128;Chapelle-lès-Luxeuil;47.7737;6.3797;70300
70154;Cirey;47.4133;6.1325;70190
70430;Quarte;47.7723;5.7018;70120
70577;Vouhenans;47.6415;6.4957;70200
71192;Étang-sur-Arroux;46.8597;4.1795;71190
71253;Lans;46.7644;4.9321;71380
71341;Palleau;46.9658;5.0339;71350
71344;Passy;46.5403;4.5354;71220
71499;Sanvignes-les-Mines;46.668;4.2807;71410
71553;Vareilles;46.3008;4.2475;71800
72004;Amné;48.0405;-0.0438;72540
72077;Chenu;47.6034;0.3551;72500
72238;Pizieux;48.3228;0.3336;72600
72327;Sarcé;47.7221;0.2289;72360
73008;Aix-les-Bains;45.6979;5.9036;73100
73257;Belleville;45.3382;6.517;73440/73600
74096;Cruseilles;46.0364;6.1153;74350
74133;Gaillard;46.1815;6.2069;74240
74158;Machilly;46.256;6.3244;74140
74265;Serraval;45.8117;6.3356;74230
76360;Heugleville-sur-Scie;49.7348;1.0997;76720
76381;Landes-Vieilles-et-Neuves;49.7859;1.6327;76390
76481;Octeville-sur-Mer;49.5592;0.1185;76930
77057;Bussières;48.9268;3.2378;77750
77336;Neufmoutiers-en-Brie;48.7731;2.8254;77610
77340;Nonville;48.2887;2.7739;77140
78165;Clayes-sous-Bois;48.8183;1.9844;78340
79013;Argentonnay;46.9699;-0.4208;79150/79300
79022;Availles-Thouarsais;46.8555;-0.1363;79600
80288;Estrées-Deniécourt;49.8718;2.8235;80200
80405;Hailles;49.7992;2.4293;80440
80621;Hypercourt;49.807;2.8569;80320
80725;Salouël;49.8692;2.2425;80480
81233;Roumégoux;43.8092;2.2635;81120
83007;Aups;43.6246;6.2209;83630
84051;Goult;43.8678;5.2473;84220
84134;Travaillan;44.1892;4.9082;84850
85146;Montaigu;46.9759;-1.3135;85600
86300;Yversay;46.6716;0.2058;86170
87023;Buis;46.0344;1.2051;87140
87044;Chéronnac;45.7569;0.7532;87600
87135;Saint-Auvent;45.8107;0.9216;87310
88201;Girancourt;48.1475;6.3263;88390
88229;Harchéchamp;48.4043;5.7991;88300
88275;Lubine;48.3175;7.1663;88490
88424;Sainte-Marguerite;48.2674;6.973;88100
89212;Jussy;47.7166;3.5705;89290
89263;Monéteau;47.8498;3.5891;89470
89318;Quarré-les-Tombes;47.3575;4.0037;89630
89424;Trucy-sur-Yonne;47.6282;3.6451;89460
91235;Fleury-Mérogis;48.6326;2.3686;91700
91434;Morsang-sur-Orge;48.6561;2.3512;91390
91667;Villemoisson-sur-Orge;48.6612;2.3325;91360
92040;Issy-les-Moulineaux;48.8232;2.2628;92130
01006;Ambléon;45.75;5.5939;01300
01083;Chaneins;46.0933;4.8547;01990
01097;Chavornay;45.8825;5.7241;
01245;Bohas-Meyriat-Rignat;46.1428;5.3771;01250
01267;Nurieux-Volognat;46.1833;5.515;01460
01286;Parves et Nattages;45.731;5.7455;01300
01291;Perrex;46.2462;4.9757;01540
01298;Plagne;46.1881;5.7179;01130
01303;Poncin;46.0892;5.4165;01450
02053;Vallées en Champagne;49.0077;3.6161;02330
02137;Bussiares;49.0765;3.2502;02810
02158;Chamouille;49.4718;3.6712;02860
02170;Châtillon-sur-Oise;49.7945;3.4151;02240
02199;Clastres;49.7494;3.2289;02440
02232;Coyolles;49.213;3.0135;02600
02242;Crouttes-sur-Marne;48.9786;3.2475;02310
02254;Cutry;49.3442;3.192;02600
02270;Douchy;49.7939;3.1304;02590
02277;Épagny;49.4714;3.2542;02290
02280;Épieds;49.1056;3.4514;02400
02292;Étampes-sur-Marne;49.0311;3.4165;02400
02324;Fontenelle;50.0312;3.8442;02170
02383;Homblières;49.8573;3.3758;02720
02519;Montloué;49.668;4.0632;02340
02532;Moÿ-de-l'Aisne;49.7511;3.3516;02610
02562;Nouvron-Vingré;49.433;3.1877;02290
02719;Sinceny;49.5904;3.2696;02300
03020;Beaune-d'Allier;46.2732;2.8914;03390
03049;Cesset;46.3002;3.1998;03500
03127;Hérisson;46.5199;2.7101;03190
03159;Malicorne;46.3066;2.7721;03600
03160;Marcenat;46.2374;3.3966;03260
03173;Molinet;46.4642;3.9268;03510
03281;Theil;46.3561;3.1248;03240
03311;Vicq;46.1464;3.095;03450
03316;Villeneuve-sur-Allier;46.6744;3.2506;03460
04075;Entrepierres;44.1956;6.0232;04200
04151;Pierrerue;43.9623;5.8362;04300
04241;Villemus;43.8619;5.7093;04110
05093;Névache;45.0443;6.5988;05100
06010;Bar-sur-Loup;43.699;6.961;06620
06044;Colle-sur-Loup;43.6874;7.0973;06480
06050;Coursegoules;43.7914;7.0364;06140
06142;Touët-de-l'Escarène;43.8524;7.377;06440
07148;Malbosc;44.3496;4.0737;07140
07245;Saint-Jean-de-Muzols;45.0793;4.7997;07300
07248;Saint-Jean-Roure;44.9543;4.4186;07160
07253;Saint-Julien-du-Gua;44.7707;4.441;07190
08028;Aubrives;50.0893;4.7658;08320
08057;Belleville-et-Châtillon-sur-Bar;49.4658;4.8167;08240
08063;Besace;49.5534;4.9679;08450
08115;Chémery-Chéhéry;49.6164;4.8699;08350/08450
08168;Ferté-sur-Chiers;49.5723;5.2395;08370
08278;Marquigny;49.5484;4.7052;08390
09020;Artigues;42.689;2.0367;09460
09293;Serres-sur-Arget;42.97;1.5056;09000
09295;Siguer;42.7088;1.5529;09220
09334;Vicdessos;42.7729;1.5108;09220
09338;Villeneuve-du-Latou;43.2047;1.4334;09130
10021;Avant-lès-Ramerupt;48.4482;4.259;10240
10034;Bar-sur-Seine;48.113;4.3793;10110
10183;Juvanzé;48.323;4.5915;10140
10214;Magnicourt;48.4579;4.3825;10240
10239;Mesnil-Sellières;48.3366;4.208;10220
10410;Villadin;48.317;3.6902;10290
11106;Coursan;43.2473;3.0572;11110
11140;Ferrals-les-Corbières;43.1435;2.7388;11200
11185;Lagrasse;43.0957;2.6045;11220
11331;Saint-Amans;43.2274;1.8844;11270
11383;Souilhe;43.3681;1.9173;11400
11416;Villarzel-Cabardès;43.284;2.4685;11600
12084;Creissels;44.0639;3.0605;12100
12134;Lugan;44.4842;2.2557;12220
13061;Saint-Pierre-de-Mézoargues;43.8607;4.6596;13150
14061;Souleuvre en Bocage;48.9556;-0.8515;14260/14350
14102;Breuil-en-Auge;49.228;0.2199;14130
14116;Bû-sur-Rouvres;49.0325;-0.1767;14190
14288;Fresne-Camilly;49.2576;-0.4852;14480
14366;Lisieux;49.148;0.2377;14100
14389;Maisoncelles-Pelvey;49.0603;-0.6713;14310
14407;Mathieu;49.2562;-0.367;14920
14491;Parfouru-sur-Odon;49.0879;-0.6088;14310
14715;Trouville-sur-Mer;49.3721;0.1021;14360
15012;Arpajon-sur-Cère;44.8756;2.4646;15130
15104;Leynhac;44.7409;2.2804;15600
16031;Barro;46.0047;0.2347;16700
16248;Oradour;45.9113;-0.037;16140
16286;Rouillac;45.7848;-0.0923;16170
16312;Saint-Cybardeaux;45.7726;-0.0265;16170
16320;Saint-Genis-d'Hiersac;45.7538;0.0355;16570
16336;Saint-Mary;45.8454;0.3621;16260
17003;Aigrefeuille-d'Aunis;46.1164;-0.9456;17290
17015;Arces;45.5602;-0.8761;17120
17044;Berneuil;45.6569;-0.5982;17460
17085;Champdolent;45.9144;-0.7762;17430
17220;Marignac;45.5193;-0.472;17800
17262;Nieul-lès-Saintes;45.7543;-0.7449;17810
17282;Pommiers-Moulons;45.3278;-0.3483;17130
17310;Saint-André-de-Lidon;45.5828;-0.7579;17260
17457;Devise;46.0455;-0.732;17380/17700
18078;Crézançay-sur-Cher;46.8142;2.3427;18190
18082;Cuffy;46.9694;3.038;18150
18139;Marseilles-lès-Aubigny;47.0702;2.9939;18320
18206;Saint-Éloy-de-Gy;47.1699;2.3296;18110
18218;Saint-Just;46.9882;2.5019;18340
19007;Altillac;44.9811;1.8688;19120
19044;Chapelle-aux-Saints;44.9829;1.7202;19120
19059;Concèze;45.36;1.3374;19350
19088;Grandsaigne;45.4882;1.9296;19300
19194;Saint-Clément;45.3304;1.6879;19700
21034;Autricourt;47.9932;4.6225;21570
21056;Beire-le-Châtel;47.4173;5.2135;21310
21095;Bousselange;46.9937;5.2536;21250
21099;Bouze-lès-Beaune;47.0541;4.7731;21200
21147;Charny;47.3317;4.4248;21350
21200;Couchey;47.2619;4.9606;21160
21232;Dompierre-en-Morvan;47.4002;4.2317;21390
21347;Levernois;46.9933;4.8721;21200
21390;Marsannay-la-Côte;47.2791;4.9832;21160
21436;Montmain;47.028;5.0601;21250
21439;Montoillot;47.2719;4.6585;21540
21458;Noiron-sous-Gevrey;47.1886;5.084;21910
21490;Poiseul-la-Ville-et-Laperrière;47.5695;4.6652;21450
21532;Rouvres-en-Plaine;47.239;5.1383;21110
21545;Sainte-Colombe-sur-Seine;47.8605;4.5295;21400
22020;Broons;48.3126;-2.2411;22250
22054;Erquy;48.6186;-2.4576;22430
22240;Plumaugat;48.2456;-2.2317;22250
22338;Squiffiec;48.6373;-3.1664;22200
22391;Yvignac-la-Tour;48.349;-2.1704;22350
23036;Bussière-Dunoise;46.2557;1.7607;23320
23096;Guéret;46.162;1.8709;23000
23158;Poussanges;45.8164;2.2212;23500
24202;Granges-d'Ans;45.2094;1.1165;24390
24323;Petit-Bersac;45.2699;0.2268;24600
24488;Saint-Pompont;44.7145;1.1355;24170
24518;Salon;45.0271;0.774;24380
25009;Aïssey;47.2694;6.3276;25360
25191;Dampierre-sur-le-Doubs;47.4659;6.7345;25420
25219;Épenoy;47.1346;6.3854;25800
25477;Rancenay;47.1863;5.9453;25320
25482;Recologne;47.2755;5.8364;25170
25517;Saint-Gorgon-Main;47.0167;6.3344;25520
25604;Verne;47.3969;6.3516;25110
26008;Ancône;44.5807;4.7212;26200
26028;Bathernay;45.1829;4.9983;26260
26080;Chastel-Arnaud;44.66;5.2078;26340
26100;Combovin;44.8582;5.108;26120
26172;Manthes;45.308;5.002;26210
26180;Mérindol-les-Oliviers;44.2723;5.1682;26170
27118;Brosville;49.1091;1.1125;27930
27287;Glisolles;48.987;1.004;27190
27337;Heuqueville;49.2869;1.3207;27700
27406;Mesnil-sur-l'Estrée;48.7774;1.2891;27650
27486;Quittebeuf;49.1072;1.0058;27110
27496;Rosay-sur-Lieure;49.3748;1.4298;27790
27531;Saint-Denis-des-Monts;49.2559;0.8061;27520
27593;Saint-Pierre-des-Fleurs;49.2481;0.9621;27370
27629;Thiberville;49.1325;0.4411;27230
28182;Gohory;48.1645;1.2231;28160
